controller,severity,preload,afterload,load_stress,run,MAP RMSE (mmHg),Unsafe Event Rate (%)
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,8,3.5726018633944787,1.7614994252791623
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,9,3.63659937875897,2.4855236063158688
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,10,2.761773464657766,3.1151884659723343
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,1,4.506845679518786,3.180562776079583
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,2,3.5663749368266773,3.601086358960419
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,3,3.652583219861932,3.6474565992288785
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,4,4.397543370285907,3.628572860410058
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,5,3.756839696010544,3.194672922192194
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,6,4.372142740797268,1.7553438987874979
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,7,4.5975771052382095,2.229266052276324
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,8,4.882511368136147,2.821318999254765
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,9,4.810718292076616,3.277199568575094
Proposed CNN-Transformer,Mild,Reduced,Elevated,1.2806248474865698,10,4.9363805463282295,2.9799207598781146
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,1,5.795813841762442,3.3318346507907357
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,2,5.113148682181399,4.22708996404566
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,3,6.105227616786145,3.3923492195459866
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,4,5.749610805084573,4.088794134752481
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,5,6.0193979585582795,3.5240029046111228
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,6,6.21236006203105,5.718116203966085
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,7,6.206468859189885,4.450586129021561
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,8,5.888198136587198,3.580296832309827
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,9,5.584528464949403,3.4457019918046985
Proposed CNN-Transformer,Mild,Reduced,High,2.247220505424423,10,4.976714581534836,4.222480922241287
Proposed CNN-Transformer,Mild,Normal,Low,1.3,1,3.592678779413173,2.979722563866561
Proposed CNN-Transformer,Mild,Normal,Low,1.3,2,4.41022857910591,1.6855444637358192
Proposed CNN-Transformer,Mild,Normal,Low,1.3,3,4.50110356924134,2.9839202931622015
Proposed CNN-Transformer,Mild,Normal,Low,1.3,4,4.537063190104602,3.024524298067835
Proposed CNN-Transformer,Mild,Normal,Low,1.3,5,4.133726786211071,3.091323259466383
Proposed CNN-Transformer,Mild,Normal,Low,1.3,6,4.770562841953818,1.931510052280397
Proposed CNN-Transformer,Mild,Normal,Low,1.3,7,4.8220127483857445,2.7637137892199815
Proposed CNN-Transformer,Mild,Normal,Low,1.3,8,4.425969445871092,2.879574131998558
Proposed CNN-Transformer,Mild,Normal,Low,1.3,9,4.096159477592048,2.4720840925872207
Proposed CNN-Transformer,Mild,Normal,Low,1.3,10,4.440847927179536,2.689727829582275
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,1,3.9913549794215597,2.699445244399305
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,2,3.1909387444397073,2.0644612750554097
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,3,3.146410037242643,1.528663512930891
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,4,3.3747827421598435,1.1849932937106515
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,5,4.342245000463644,1.9257854956012717
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,6,4.163652896094567,1.3123615127261645
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,7,2.9689042141788846,2.5829852531641198
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,8,3.4203250548386417,2.1687608432544105
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,9,3.080982481726294,2.114297670164378
Proposed CNN-Transformer,Mild,Normal,Reduced,0.6,10,3.040778652168955,2.7753863018425777
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,1,2.747174994806603,0.5322895931876384
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,2,2.937599408253324,1.5120413487497206
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,3,2.9095380282169887,1.477410907231592
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,4,3.3633445283579553,2.0494550421448956
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,5,2.6751752430355404,1.221300237750004
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,6,3.0368043485544436,1.235036966864316
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,7,2.648189948214055,1.0355593913256875
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,8,2.1946729256768225,1.2082978306984824
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,9,3.3930720180922296,1.2982205734351624
Proposed CNN-Transformer,Mild,Normal,Normal,0.0,10,2.0242397076579124,2.0075288861842497
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,1,3.9346212969868852,3.611572620955257
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,2,4.380951622421188,3.259633927145389
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,3,3.531373745965306,3.1846446462703812
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,4,4.842538607443234,2.302134263932502
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,5,3.579752666870574,2.308338440336145
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,6,3.970597401861818,3.836506606437156
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,7,3.057289296794007,2.686348876569487
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,8,3.532250356246907,2.921527265234781
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,9,3.6516198531867223,2.5904712005837354
Proposed CNN-Transformer,Mild,Normal,Elevated,1.0,10,4.504495179601268,2.6285649870836365
Proposed CNN-Transformer,Mild,Normal,High,2.1,1,6.485625851660515,3.7761105823061962
Proposed CNN-Transformer,Mild,Normal,High,2.1,2,5.694914222586189,4.783470081070374
Proposed CNN-Transformer,Mild,Normal,High,2.1,3,4.6209016435104635,5.0321265210709445
Proposed CNN-Transformer,Mild,Normal,High,2.1,4,6.190518119886681,3.597914184680002
Proposed CNN-Transformer,Mild,Normal,High,2.1,5,5.077567531802518,4.02165966679604
Proposed CNN-Transformer,Mild,Normal,High,2.1,6,5.487620274980132,4.125520384902957
Proposed CNN-Transformer,Mild,Normal,High,2.1,7,5.331126793917797,5.812888416965699
Proposed CNN-Transformer,Mild,Normal,High,2.1,8,6.909965957252619,4.175048147209615
Proposed CNN-Transformer,Mild,Normal,High,2.1,9,5.999029347712564,4.777909831687332
Proposed CNN-Transformer,Mild,Normal,High,2.1,10,5.562904093650297,4.561726766621596
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,1,4.032257108046493,3.710282325842572
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,2,5.236297483343359,3.119347765439788
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,3,5.543816831595612,3.551229959890698
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,4,4.734717837921019,3.850214505001246
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,5,3.710315701332574,2.7364903865487245
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,6,4.823573984579828,2.5487950742704095
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,7,4.22732221680872,4.60768536306628
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,8,4.266233940472569,4.073481974329962
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,9,4.79421247096225,3.727229061195038
Proposed CNN-Transformer,Mild,Elevated,Low,1.5811388300841898,10,4.375205479060803,2.1102195503233445
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,1,4.332559270919168,2.7973163508291767
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,2,3.4585324088498166,2.5032445206743588
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,3,4.281167971933621,2.100368860986994
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,4,4.187444258371234,2.726809749811832
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,5,3.947903593056717,1.627449685233794
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,6,3.5781854890809104,2.4486867836658774
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,7,4.911000540370712,2.2242468329830745
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,8,4.385640201775317,1.921761337070613
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,9,4.561377431103057,2.199819888413229
Proposed CNN-Transformer,Mild,Elevated,Reduced,1.0816653826391966,10,4.822054787786381,3.0590825577324283
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,1,4.241656105277612,2.5546503545217862
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,2,3.8653716847822297,3.5232883088993097
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,3,4.373245731289954,1.7841784933826599
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,4,3.783548285086348,1.347849081909892
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,5,3.594452119663623,1.6547221257292184
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,6,3.9968601001292066,2.8859653143290043
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,7,4.396718326165107,2.514364365862182
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,8,3.6175139150549924,2.4385378730281686
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,9,3.412976272722305,2.4580670580198154
Proposed CNN-Transformer,Mild,Elevated,Normal,0.9,10,4.491443107288911,2.21270083753812
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,1,3.915320012268346,3.5334810362413087
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,2,4.371159164605112,2.611669908786856
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,3,4.8565840223505985,3.1090748657082306
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,4,4.664156701902864,3.545053218549048
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,5,4.0704603390845735,2.4224939207436047
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,6,4.413986785515229,3.011241288048529
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,7,4.895054726518243,2.522211211926397
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,8,3.9982870544422267,3.385323903262314
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,9,4.33992394177986,3.3284905608583752
Proposed CNN-Transformer,Mild,Elevated,Elevated,1.3453624047073711,10,4.424726140711575,2.601214449695722
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,1,5.651181056447631,4.71696114802069
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,2,6.226953230885269,5.2606664644286685
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,3,6.515346355558831,4.649388095563296
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,4,6.817794281154605,2.5374105568839815
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,5,6.246536462051421,4.310174237418385
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,6,6.059461698160481,4.403625936944607
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,7,5.60301320737213,5.53968466349979
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,8,5.690484861265803,4.073925770496247
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,9,6.544168600688589,4.014918210412282
Proposed CNN-Transformer,Mild,Elevated,High,2.2847319317591723,10,7.339527760619454,6.350016454511192
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,1,6.121633596242567,5.049129178782647
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,2,6.672678863165311,5.381016308933078
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,3,6.80691904507681,5.65841199079649
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,4,4.786244330414933,4.7231613189561426
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,5,6.8921357962941014,6.730173915528457
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,6,4.661719016659755,5.357878730369343
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,7,6.641506765031261,5.017598460835027
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,8,6.549047329715418,5.715250992410723
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,9,7.507571406843067,4.025715311858568
Proposed CNN-Transformer,Mild,High,Low,2.3021728866442674,10,4.974674095622755,4.390080026382994
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,1,5.849200271048642,4.169133322842554
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,2,6.850803731217793,5.394175294938806
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,3,4.255950511643136,3.6131972453924117
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,4,6.641829350802211,2.6139158682119175
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,5,5.028876269367807,3.385836072740727
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,6,5.069814746424749,2.765064424884562
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,7,5.74305420186095,3.4812867334224014
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,8,4.822695315351759,3.616311064099022
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,9,5.245156783563643,3.75174842570924
Proposed CNN-Transformer,Mild,High,Reduced,1.9924858845171274,10,5.3086611078175565,4.227607822754566
Proposed CNN-Transformer,Mild,High,Normal,1.9,1,4.6666305307584945,4.536159273274779
Proposed CNN-Transformer,Mild,High,Normal,1.9,2,4.911878361857991,4.419540712714119
Proposed CNN-Transformer,Mild,High,Normal,1.9,3,5.336809903619675,3.2650609404068
Proposed CNN-Transformer,Mild,High,Normal,1.9,4,5.044729793608973,3.8979160448991803
Proposed CNN-Transformer,Mild,High,Normal,1.9,5,5.043454890170624,3.371101835618346
Proposed CNN-Transformer,Mild,High,Normal,1.9,6,5.07477743192506,3.329848967662896
Proposed CNN-Transformer,Mild,High,Normal,1.9,7,6.495628347431487,2.659178591750446
Proposed CNN-Transformer,Mild,High,Normal,1.9,8,5.482203912747546,4.522609744554968
Proposed CNN-Transformer,Mild,High,Normal,1.9,9,5.879107971215948,4.142391530630932
Proposed CNN-Transformer,Mild,High,Normal,1.9,10,4.451626877636233,4.489068074772597
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,1,6.107577458759467,5.026411737835297
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,2,5.434751229401374,4.009708883110239
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,3,6.152189715299399,2.762975815223406
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,4,5.395894136361636,4.256268072280091
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,5,6.927362702109068,4.888574873576847
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,6,6.582494527662314,4.716798351883373
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,7,5.791259421260163,4.784311358658459
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,8,5.8059886583648845,4.294451471404314
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,9,4.486474361363522,3.6731561638386547
Proposed CNN-Transformer,Mild,High,Elevated,2.1470910553583886,10,5.4444953646138625,5.91160539459444
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,1,6.779174014021666,7.103769276865776
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,2,6.682712630577481,6.585128969273814
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,3,7.26229518263102,4.7179772587417546
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,4,7.054821576885228,4.48094935312519
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,5,7.362061134871096,6.661134343860004
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,6,7.188955162158669,5.166530980421929
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,7,6.839257345759012,4.726626861861565
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,8,6.489579131544236,4.870681563245033
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,9,6.698540127681564,5.068331291414967
Proposed CNN-Transformer,Mild,High,High,2.831960451701259,10,7.231594403112243,5.182765653434623
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,1,5.855133473077317,4.955177983414988
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,2,5.661967848438149,4.852778620465572
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,3,6.661838481992892,5.420051415798929
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,4,7.247346128638242,4.153999706935035
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,5,5.3613484718591815,4.462889950159926
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,6,5.765754529019046,5.411120564192451
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,7,4.485798017158862,4.617296766948442
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,8,5.5160267518620225,4.830680325817696
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,9,6.2852491759082545,6.418947346809544
Proposed CNN-Transformer,Moderate,Low,Low,2.1400934559032696,10,4.8515882727250705,6.534617081272925
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,1,6.346259716870778,3.7065439328700274
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,2,4.886545469349475,4.538179894234583
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,3,5.77004709220357,5.929263111430995
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,4,5.852057983351399,5.089422098383665
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,5,6.443763979880808,5.382972023993558
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,6,4.824981720668293,3.9411639033920447
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,7,6.446459723681716,4.533961979662225
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,8,6.487961801811459,4.919695069794504
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,9,5.783606961062994,5.03873925079607
Proposed CNN-Transformer,Moderate,Low,Reduced,1.8027756377319946,10,5.446107505878855,3.7290355356527636
Proposed CNN-Transformer,Moderate,Low,Normal,1.7,1,5.2956402192963745,4.491983688790946
Proposed CNN-Transformer,Moderate,Low,Normal,1.7,2,6.204514379980086,3.825266081330509
Proposed CNN-Transformer,Moderate,Low,Normal,1.7,3,6.169537393668416,4.178996446067335
Proposed CNN-Transformer,Moderate,Low,Normal,1.7,4,5.882402277804422,3.5071006974810235
Proposed CNN-Transformer,Moderate,Low,Normal,1.7,5,5.153232489765446,4.0104206171729375
Proposed CNN-Transformer,Moderate,Low,Normal,1.7,6,5.827736760997795,3.1065898395919795
Proposed CNN-Transformer,Moderate,Low,Normal,1.7,7,5.18983432539084,4.937893273677901
