controller,scenario,run,MAP RMSE (mmHg),Flow RMSE (L/min),Settling time (s),Unsafe event rate (%)
Proposed CNN-Transformer PPO,Activity to rest,7,3.1655390657312474,0.26566905104589095,5.657246956463688,2.7442290846152444
Proposed CNN-Transformer PPO,Activity to rest,8,3.5956539209176186,0.19985607801819477,5.699293803479349,2.631261341843815
Proposed CNN-Transformer PPO,Activity to rest,9,2.7833636901495797,0.28399961547487174,6.555019527796195,2.7233890197029913
Proposed CNN-Transformer PPO,Activity to rest,10,3.558709272283651,0.2565370829033909,6.229529166604678,2.6549968414447127
Proposed CNN-Transformer PPO,Activity to rest,11,2.535823509910279,0.28503859241010887,5.788874201808483,2.9838915990667365
Proposed CNN-Transformer PPO,Activity to rest,12,3.156490347959645,0.18551289026408377,6.327304143691564,2.730987288251498
Proposed CNN-Transformer PPO,HF severity change,1,3.112679020721517,0.28225872718229317,7.290504801150475,3.7466772311541807
Proposed CNN-Transformer PPO,HF severity change,2,3.694027899064161,0.2681603543545324,6.29185661098721,2.9066585289990616
Proposed CNN-Transformer PPO,HF severity change,3,4.525088698208895,0.3283817928656847,6.15627942854745,3.7198639104135034
Proposed CNN-Transformer PPO,HF severity change,4,3.8684085096793654,0.2924098846512425,6.002659910987047,2.915477525510173
Proposed CNN-Transformer PPO,HF severity change,5,3.5584944442932667,0.3338436167092058,6.324495663283086,4.296365875892081
Proposed CNN-Transformer PPO,HF severity change,6,3.5459006955683408,0.2648514822303707,7.317813993508327,3.2788264987840567
Proposed CNN-Transformer PPO,HF severity change,7,3.159553049732208,0.2626261021568715,5.875806655648184,3.0327783607192447
Proposed CNN-Transformer PPO,HF severity change,8,3.7291483811870565,0.32088583200733256,8.201324743592572,3.36926495461043
Proposed CNN-Transformer PPO,HF severity change,9,3.1746254101663625,0.3129850269069969,6.997893639407752,2.7351124384740357
Proposed CNN-Transformer PPO,HF severity change,10,3.21057637986415,0.2195580758635141,6.070513026752598,2.3350075865958915
Proposed CNN-Transformer PPO,HF severity change,11,3.105601158842762,0.2500067182866415,6.679174883539523,1.9934808713344399
Proposed CNN-Transformer PPO,HF severity change,12,3.455056821128553,0.3394923269023277,7.20423290223491,3.113406989436872
TD3,Rest to activity,1,5.74317473647181,0.4239709347130814,11.253720358915185,6.896646704966749
TD3,Rest to activity,2,4.971156975729901,0.4339201525329901,10.837477266131483,6.304802663244843
TD3,Rest to activity,3,5.397152914038014,0.4432048363706353,11.539829066240943,6.7333313146572635
TD3,Rest to activity,4,4.572270902765054,0.45518176719503417,10.538179220247391,7.89932407334163
TD3,Rest to activity,5,3.88576809875706,0.3735147269097078,6.87734697911869,5.416634765862493
TD3,Rest to activity,6,4.767270058908519,0.48564782405858853,8.32436040256728,5.989189868605074
TD3,Rest to activity,7,4.803802291002993,0.4215183888855924,9.006187863025993,6.55949154544824
TD3,Rest to activity,8,4.282461440758848,0.3664350463088685,9.918270221025812,4.524601104739771
TD3,Rest to activity,9,4.718426161688598,0.34860967598997394,9.54945923115569,5.235626211955151
TD3,Rest to activity,10,4.625265437609652,0.5074839122574144,10.495810521482614,5.361865498596903
TD3,Rest to activity,11,4.775696569146652,0.39936316314720577,10.427581828443437,5.393182919911087
TD3,Rest to activity,12,4.845537213639147,0.4736041448383433,10.33805423552621,6.897932769725363
TD3,Activity to rest,1,4.73361515334662,0.3300173574953433,8.82522901042527,5.973924157843363
TD3,Activity to rest,2,3.5657009342075816,0.37324004578399594,8.814208200800534,5.814878468400778
TD3,Activity to rest,3,3.9968786109128245,0.36483246960357546,8.488670914063006,4.730914682521939
TD3,Activity to rest,4,4.461480114416048,0.4190926948681953,10.576259630117976,4.407695083823709
TD3,Activity to rest,5,4.105743889786585,0.41400723770343006,9.727776282812869,4.583695337839987
TD3,Activity to rest,6,4.566500266631843,0.40248857557698364,9.487739107185908,5.524383842524974
TD3,Activity to rest,7,4.101442348954068,0.39953919304254204,8.36916441962485,4.988615278512493
TD3,Activity to rest,8,3.9830242715952697,0.44100959280909746,9.0086656821245,5.072157604658337
TD3,Activity to rest,9,3.9109045389096684,0.317335625544837,9.10398278947991,4.937741598787025
TD3,Activity to rest,10,3.938711044119316,0.4801151449955203,11.738545566355526,6.2403323133667215
TD3,Activity to rest,11,4.138446694844551,0.42167013441198925,11.383771090744705,5.975356430408923
TD3,Activity to rest,12,5.105351359002885,0.4013336867854346,7.96573257430456,3.8171484440315737
TD3,HF severity change,1,5.516852492961879,0.5662468782342135,11.152834980340305,7.089764615567529
TD3,HF severity change,2,4.695920519981888,0.5419396755514847,10.505312446717117,7.39697772495694
TD3,HF severity change,3,5.3825766566936855,0.509258825836542,13.357160398861083,7.711033109738948
TD3,HF severity change,4,4.777227133175983,0.5674067178964506,11.27041717354049,5.031064411316741
TD3,HF severity change,5,5.899488687104325,0.5289341052068356,10.877772018925391,6.940090521611241
TD3,HF severity change,6,5.475244692330722,0.503072663065066,13.098835588956149,7.256298006812515
TD3,HF severity change,7,5.188719992136801,0.407311208985115,11.731528469147083,6.410520964433682
TD3,HF severity change,8,5.2616708618463575,0.5401588968908924,9.53796948473478,5.978730879419487
TD3,HF severity change,9,5.072762423598414,0.4787255785288187,10.124972422084653,6.166753151402548
TD3,HF severity change,10,5.191725261276758,0.46386984395456027,10.834698201826857,5.099710525697472
TD3,HF severity change,11,3.9952488571169926,0.49777248618598047,9.997561931277382,5.06245651428736
TD3,HF severity change,12,5.891980268081403,0.4941785484847581,12.270080272021685,6.7560244946454455
DDPG,Rest to activity,1,6.7090097496588275,0.474631126767442,10.2875313656868,9.17409139062017
DDPG,Rest to activity,2,5.479181711977167,0.46335132176876326,12.716537747286758,6.522478868630831
DDPG,Rest to activity,3,7.377668510446778,0.6459659944203198,12.693904459223754,7.242615872932739
DDPG,Rest to activity,4,5.577419993977238,0.5081618030807185,12.85430189007121,8.376373287978456
DDPG,Rest to activity,5,4.388224786364941,0.48144356777489206,9.834146721639662,5.814302187854885
DDPG,Rest to activity,6,5.837896884814629,0.5519164680782043,15.418280083737757,7.203525155667503
DDPG,Rest to activity,7,5.654342801662757,0.5516236510440139,10.28682369727196,6.825648850136474
DDPG,Rest to activity,8,5.141694356902062,0.45939465323044937,10.583468778717926,6.736188600951434
DDPG,Rest to activity,9,5.726450101068968,0.48728091418951003,9.98200294584003,6.986928415954893
DDPG,Rest to activity,10,5.469792413546713,0.5044897802610069,12.997361895662745,7.193988165819276
DDPG,Rest to activity,11,4.687265168694954,0.4496660827890873,9.414478712424655,7.47163202334887
DDPG,Rest to activity,12,6.199390340665269,0.5471324328965982,11.59533519490406,7.304137882751179
DDPG,Activity to rest,1,5.625336943140948,0.43198638950544355,11.234111536601981,7.0060407245140635
DDPG,Activity to rest,2,4.914436569376363,0.5434443113125463,10.995723830769672,7.159743868289708
DDPG,Activity to rest,3,5.0694551815303965,0.45328181651737576,9.435802235539139,7.8259850905504695
DDPG,Activity to rest,4,4.394140375003953,0.4503271874653606,10.911743799479392,7.274784113573181
DDPG,Activity to rest,5,2.9970436677503267,0.5323505272939092,6.268695715370978,5.959920172947009
DDPG,Activity to rest,6,6.455093608238855,0.6068544637120336,11.190731810471314,6.7306998422035935
DDPG,Activity to rest,7,6.1808649098131285,0.5035547993405284,11.049428722704315,7.558500380427028
DDPG,Activity to rest,8,4.901227163355825,0.48336860266139586,9.428333720240358,7.737498214048207
DDPG,Activity to rest,9,5.563437743541876,0.45232423585899056,10.04528185533659,7.331216734945427
DDPG,Activity to rest,10,4.8173936083666025,0.48822159146951843,12.21525072394627,7.4305926851443305
DDPG,Activity to rest,11,5.874558811374625,0.4436493651946798,12.128467669388954,7.454333553021568
DDPG,Activity to rest,12,3.979253989408485,0.4042156878754533,10.328721194218053,5.455411151897498
DDPG,HF severity change,1,5.825876195251983,0.6016806330116428,13.484604741086482,9.336129020566117
DDPG,HF severity change,2,6.333854257753841,0.49961412704320085,12.113135525014881,9.884495582094026
DDPG,HF severity change,3,6.0886853598819375,0.6164097310066298,11.668127004130033,7.632620329746202
DDPG,HF severity change,4,6.486202565981079,0.5202664188622881,12.674330823141338,8.032435129365343
DDPG,HF severity change,5,6.360121641256276,0.6113092077997581,14.80247821306118,7.176983251578761
DDPG,HF severity change,6,5.581691540782245,0.5746012874050178,13.013880903423091,7.825352371094816
DDPG,HF severity change,7,6.035333642388208,0.5706710292532087,14.578599377195257,7.528052562328106
DDPG,HF severity change,8,6.35920944219761,0.579981373409037,13.854018134859162,10.398719263958458
DDPG,HF severity change,9,5.140710863236032,0.5759892131960918,12.529671588197875,8.401962333799034
DDPG,HF severity change,10,5.717018132026246,0.48658962084221813,11.624953392555268,9.38634091402536
DDPG,HF severity change,11,5.307168988367195,0.5179539618059812,9.705493874686617,7.365708670509991
DDPG,HF severity change,12,6.628469080067276,0.6248120642421926,13.027791399943222,7.983469013224336
Reference DRL VAD controller,Rest to activity,1,5.64751230490165,0.5316659221484766,10.894808201937991,5.411951067536362
Reference DRL VAD controller,Rest to activity,2,6.082861135207382,0.5325069025976527,10.907232078801194,8.517616325519633
Reference DRL VAD controller,Rest to activity,3,5.888613218979706,0.5158468337502476,12.138951101954351,7.349334088789062
Reference DRL VAD controller,Rest to activity,4,5.608661519530578,0.5936571774030758,13.27399536117559,7.072969419470077
Reference DRL VAD controller,Rest to activity,5,4.379812760655106,0.4332415675898464,8.370654296222659,6.337636950701595
Reference DRL VAD controller,Rest to activity,6,4.681912917244095,0.44485920370605275,11.192867064175125,7.646380257261921
Reference DRL VAD controller,Rest to activity,7,5.770054752656971,0.49944600708381054,11.964946217980508,7.33390630232714
Reference DRL VAD controller,Rest to activity,8,4.5349554776524705,0.46566998387183384,10.081380575375256,6.575751776913412
Reference DRL VAD controller,Rest to activity,9,5.446231147253902,0.27901384457649253,9.890173171039265,5.500197401817559
Reference DRL VAD controller,Rest to activity,10,5.143537954711037,0.40980293320096706,12.690959479942526,6.564938572504429
Reference DRL VAD controller,Rest to activity,11,4.27258168737737,0.4746452599119271,8.5066461296359,6.602713746512373
Reference DRL VAD controller,Rest to activity,12,5.3031125572378,0.47494798319764425,10.65299357000299,5.872121550447521
Reference DRL VAD controller,Activity to rest,1,5.411746800066471,0.4289332701543819,10.092265166794311,5.855954376631911
Reference DRL VAD controller,Activity to rest,2,4.4808577874006446,0.37687326791543735,10.70321743300009,6.269356998569247
Reference DRL VAD controller,Activity to rest,3,4.807360065691901,0.4348826567131195,9.286651415373239,6.369223212426726
Reference DRL VAD controller,Activity to rest,4,4.342388017375369,0.44853190624129374,10.16279050404999,7.063162403512195
Reference DRL VAD controller,Activity to rest,5,5.106905118560869,0.5435178300000216,11.856845512812722,3.1037392232875707
Reference DRL VAD controller,Activity to rest,6,4.892187482255322,0.43305589532242994,10.552904400941092,5.968612445470871
Reference DRL VAD controller,Activity to rest,7,5.5319593785543795,0.46062872145206624,9.665310394279745,6.308320250286357
Reference DRL VAD controller,Activity to rest,8,4.23594569930948,0.37120601221837407,9.361894302356015,5.944167017144543
Reference DRL VAD controller,Activity to rest,9,4.567941841204845,0.44977637090252626,10.87598177181566,6.874222514023343
Reference DRL VAD controller,Activity to rest,10,4.6435546241231815,0.41008718325164173,12.264724979644242,8.036683951999747
Reference DRL VAD controller,Activity to rest,11,5.635160487424532,0.4249492802861793,10.398415985339454,7.578299930536359
Reference DRL VAD controller,Activity to rest,12,4.534376606431492,0.32069020336878684,9.07203223503518,6.926743998795093
Reference DRL VAD controller,HF severity change,1,6.56348590570391,0.5642607229565479,11.279420845954284,7.58842740105578
Reference DRL VAD controller,HF severity change,2,6.3574093762419865,0.4735875311613008,13.639288439677255,9.351792461694597
Reference DRL VAD controller,HF severity change,3,5.44415557958163,0.5170921012679772,13.255799502898904,6.882064957989006
Reference DRL VAD controller,HF severity change,4,5.4664573484938455,0.5210573985281479,10.805088820635532,7.246840342012964
Reference DRL VAD controller,HF severity change,5,5.327886118196578,0.5673937673720648,11.611982835748131,7.808618780956718
Reference DRL VAD controller,HF severity change,6,5.310732702934516,0.48301731902168904,11.979907276371076,7.93021223838255
Reference DRL VAD controller,HF severity change,7,5.321210834031141,0.5210224609556229,10.737207485455277,7.698632020060516
Reference DRL VAD controller,HF severity change,8,5.770072534763281,0.5045147321950951,14.897608390947074,6.924589604274354
Reference DRL VAD controller,HF severity change,9,5.497605513598386,0.5108664453497553,13.532276611907402,5.481656860136087
Reference DRL VAD controller,HF severity change,10,5.615051262230458,0.48250364821015573,11.7076114891796,6.499157779815571
Reference DRL VAD controller,HF severity change,11,4.771983006562852,0.5009920413533967,12.605640770560562,6.317176632552573
Reference DRL VAD controller,HF severity change,12,5.4820689101014075,0.5841960702634537,14.501117168832385,7.732611417910224
Model predictive control,Rest to activity,1,5.063078153008482,0.4168345894496344,11.068325562087672,6.955554868055389
Model predictive control,Rest to activity,2,5.81527618212174,0.39787113824907666,8.513984982468116,6.650879430550023
Model predictive control,Rest to activity,3,5.23875923052737,0.49253913657738824,11.59818304817968,7.667941971929089
Model predictive control,Rest to activity,4,6.282826663165877,0.5618833756946133,9.422273504716665,5.882231792058153
Model predictive control,Rest to activity,5,3.9233369432144416,0.3642490979723675,6.987197388950738,5.6558121270579775
Model predictive control,Rest to activity,6,5.447989640535209,0.4254856508638848,9.544762511471928,6.926875560901112
Model predictive control,Rest to activity,7,5.172312118783634,0.4446733639950418,8.773838672237433,5.582244676178473
Model predictive control,Rest to activity,8,4.552858946143462,0.4158627881595255,7.6662275444322034,4.88461101059478
Model predictive control,Rest to activity,9,4.89311051196444,0.45482170354928103,9.072056606825022,5.8248874709885605
Model predictive control,Rest to activity,10,5.1000506141930915,0.39495371382384004,8.599032476809453,6.868153046818295
Model predictive control,Rest to activity,11,4.850523738482509,0.42803024802829026,9.222278736690715,5.385909528786021
Model predictive control,Rest to activity,12,5.796229657146268,0.48938851602681943,9.813193251306917,5.394811779943271
Model predictive control,Activity to rest,1,4.203168669457261,0.3885818823149428,9.066996766175082,6.323296741330002
Model predictive control,Activity to rest,2,4.535806313749033,0.486942392837788,10.150833523772796,4.9958691059997635
Model predictive control,Activity to rest,3,5.328714901555701,0.3612166317175556,7.675980282920689,5.309394892358458
Model predictive control,Activity to rest,4,5.023592140313668,0.449332158344765,9.202197822145322,6.494774965014946
Model predictive control,Activity to rest,5,3.8414511975678307,0.41029624096027717,9.27319052951585,5.472453940111396
Model predictive control,Activity to rest,6,4.641100731702033,0.4764470193610946,8.064210469266492,4.993520884055009
Model predictive control,Activity to rest,7,5.179307238830521,0.47928437175270855,8.696574779671952,6.207327283378604
Model predictive control,Activity to rest,8,4.42478296096819,0.4704859673261085,9.036145020135757,6.120785476129288
Model predictive control,Activity to rest,9,4.0829410494642655,0.4338593213058974,10.12717218726152,4.475117851225652
Model predictive control,Activity to rest,10,4.538061710619025,0.41562173510221334,9.681284037838042,6.536281236187945
Model predictive control,Activity to rest,11,4.734332939398691,0.4943738056310733,8.938066827810065,4.868322087362392
Model predictive control,Activity to rest,12,3.8501388888414585,0.33397676537075077,6.720345019909409,7.012674150375782
Model predictive control,HF severity change,1,6.067246538113018,0.5184423916648921,10.381217803761032,6.809144123248477
Model predictive control,HF severity change,2,5.675127887230735,0.5487835297145839,10.890469552309119,7.179710699667228
Model predictive control,HF severity change,3,6.469437176564985,0.5281980077190429,11.069552921249658,7.626725851742819
Model predictive control,HF severity change,4,4.668542897672456,0.4124512117114088,11.265870005105647,6.743110221832365
Model predictive control,HF severity change,5,5.272428607481097,0.5453775178533916,11.314661350306334,6.720248036723534
Model predictive control,HF severity change,6,5.339660264001165,0.5093060858910967,9.787862659174912,6.346267374981371
Model predictive control,HF severity change,7,5.248001365527934,0.3695106651086942,11.357948633454125,6.973843912178379
Model predictive control,HF severity change,8,6.011741841751183,0.5353848211977452,11.022903174656268,6.528818588396504
Model predictive control,HF severity change,9,5.526813213634364,0.4666376344410928,10.472855227584478,6.2560940957172635
Model predictive control,HF severity change,10,5.539963134074821,0.5102854034756923,8.329053166976017,6.326661788134207
Model predictive control,HF severity change,11,5.68550530701153,0.41861253158098105,10.373175090035229,6.817265153813324
Model predictive control,HF severity change,12,6.516256940734075,0.4867200736129066,10.62830012923484,7.221033562716655
Starling-like control,Rest to activity,1,5.846019375257519,0.6861522958759506,14.399689716810409,9.53503403157455
Starling-like control,Rest to activity,2,6.730105942378071,0.7186266487991494,15.871563921353818,9.111243028631003
Starling-like control,Rest to activity,3,6.924246712454319,0.6084955070363451,14.908611740787928,11.163656960141866
Starling-like control,Rest to activity,4,6.662419000981412,0.6316025396513828,16.19574902800354,9.10795756860752
Starling-like control,Rest to activity,5,5.54845605180209,0.530332877289843,9.317332102994815,7.916626794122758
Starling-like control,Rest to activity,6,6.302185543414204,0.6822801530110795,13.904414958942247,9.62686471490921
Starling-like control,Rest to activity,7,6.307681828942312,0.5795971344143855,10.92603576087593,8.151433845338206
Starling-like control,Rest to activity,8,5.631248831506682,0.5283625039597751,9.88951699584786,8.104071459837835
Starling-like control,Rest to activity,9,6.425815783500186,0.604488713303271,12.062387948732052,9.655305949772776
Starling-like control,Rest to activity,10,7.34869396861871,0.5618679970720801,13.268034154614076,10.912646939483775
Starling-like control,Rest to activity,11,6.223184387768212,0.5567675985061482,11.341325808868692,7.635657692683183
Starling-like control,Rest to activity,12,7.564783599768041,0.5355578298646074,15.609388973962192,9.067113885404861
Starling-like control,Activity to rest,1,5.099529058150708,0.6179955540425022,10.812059097370717,7.546956362195182
Starling-like control,Activity to rest,2,5.552253868655689,0.47047128680159256,12.323091443830762,8.521920235536214
Starling-like control,Activity to rest,3,5.157058658869676,0.46938515840594613,11.197924594246832,6.8584142938426185
Starling-like control,Activity to rest,4,5.671983058318994,0.39681859961323546,12.829707173721042,9.492212391913702
Starling-like control,Activity to rest,5,5.173125955519195,0.4796775042327401,6.547084743879462,6.856513914717563
Starling-like control,Activity to rest,6,5.916426153925103,0.5188409940754777,13.990159780816244,9.839897702209443
Starling-like control,Activity to rest,7,5.840444720839589,0.5424948195052287,12.562138614333346,8.353975964130365
Starling-like control,Activity to rest,8,5.686284286227051,0.5529717882598285,13.26058884251695,9.27203873532964
Starling-like control,Activity to rest,9,5.575519140258895,0.48715847803529944,13.380268256454533,7.53221161408561
Starling-like control,Activity to rest,10,5.758188094928478,0.6130934254012452,12.662652034147836,6.606196923679855
Starling-like control,Activity to rest,11,6.323015389113079,0.5038887444667338,12.963547333863598,7.877273345821435
Starling-like control,Activity to rest,12,5.869436215069522,0.40676207344382864,9.011175348843535,7.93038541976829
Starling-like control,HF severity change,1,8.085876662182896,0.6263233242956825,17.374480170801874,10.884077647950486
Starling-like control,HF severity change,2,6.873805141388498,0.7326822843162,13.981165810807022,11.194887600656227
Starling-like control,HF severity change,3,8.305973317489865,0.7563734700301374,16.059322998972863,9.873783100346659
Starling-like control,HF severity change,4,7.549372683560264,0.5180487218459177,12.543809540250125,9.002423584357164
Starling-like control,HF severity change,5,7.82108298462461,0.6144678340019163,16.015434453984238,11.48695574114712
Starling-like control,HF severity change,6,8.490218957664212,0.5925757049039614,15.467023792805485,9.39089569793738
Starling-like control,HF severity change,7,5.903501151186029,0.6347131926690179,11.817335672196366,9.099815213643028
Starling-like control,HF severity change,8,7.284611788770394,0.7223400062108588,13.616676599038394,9.205472968065209
Starling-like control,HF severity change,9,6.123949358870471,0.7464673733253119,13.211278016590514,8.71824251187823
Starling-like control,HF severity change,10,7.672590586275932,0.5145275857994926,11.100666932732668,8.752751949060105
Starling-like control,HF severity change,11,6.9968385467058285,0.6039814521791247,11.751339319847332,7.352210076670897
Starling-like control,HF severity change,12,6.659809813415792,0.587696808690474,14.654091747098533,11.090763096280025
Fuzzy control,Rest to activity,1,6.671065289431639,0.7391343399942059,15.361498048994346,11.557980649923469
Fuzzy control,Rest to activity,2,7.244968214001368,0.7490472875790946,17.988591452772404,10.964114712655048
Fuzzy control,Rest to activity,3,8.816251940667739,0.7412113688090272,19.63594699493179,13.299191648924547
Fuzzy control,Rest to activity,4,7.078716348821631,0.6938995322007296,14.531836592363426,11.809765803300731
Fuzzy control,Rest to activity,5,6.320921008883064,0.5225461274024521,11.73125872193998,7.305813504416375
Fuzzy control,Rest to activity,6,7.329794357581255,0.8158622345210941,14.178531385697458,11.215837291779726
Fuzzy control,Rest to activity,7,7.506818086024029,0.6014193406275475,13.583060964306664,11.529732776542676
Fuzzy control,Rest to activity,8,6.368861951204217,0.5633975083534738,14.28507240655763,6.2469352429101574
Fuzzy control,Rest to activity,9,6.9203068230255,0.6879556004298765,14.476969463059197,8.887105429914449
Fuzzy control,Rest to activity,10,7.702593939471422,0.792119261884021,15.814461686477843,11.232894517706569
Fuzzy control,Rest to activity,11,7.225040765284299,0.6420156732637716,13.612736728179659,9.741149986033633
Fuzzy control,Rest to activity,12,6.8114923277142765,0.6608836331327684,16.428298308295975,11.088968773933434
Fuzzy control,Activity to rest,1,6.950472855491184,0.5453967127524141,13.154450264203241,7.592462768128586
Fuzzy control,Activity to rest,2,7.098974293338258,0.6187279492019955,11.863330351433678,9.34782155418478
Fuzzy control,Activity to rest,3,6.228534617462149,0.5709883863764996,13.011731440381832,9.830055272884083
Fuzzy control,Activity to rest,4,6.809298641389266,0.603241416325948,11.94250101682758,9.244919825884798
Fuzzy control,Activity to rest,5,5.8369231405213995,0.47949079316151316,12.094794772415131,7.3897227710558155
Fuzzy control,Activity to rest,6,7.949420202694823,0.6981389684303456,13.664892226851116,10.636667036873614
Fuzzy control,Activity to rest,7,5.727449933541648,0.6622608435073348,13.744047929496766,11.002580798618704
Fuzzy control,Activity to rest,8,5.966383585589169,0.5350109041013563,12.159720747646187,8.364284179190548
Fuzzy control,Activity to rest,9,6.083628952046117,0.44640468385991494,13.037690922780794,9.174009866304099
Fuzzy control,Activity to rest,10,6.5422068986025,0.5768296790164815,13.731443462921316,10.655207849625677
Fuzzy control,Activity to rest,11,6.816047754282754,0.6588480880771438,13.985392658596835,7.705981876529596
Fuzzy control,Activity to rest,12,5.684126116083053,0.6044574820603297,10.043722238939594,8.360280015710828
Fuzzy control,HF severity change,1,8.34838621382475,0.6650576338378529,18.68950987725468,12.009147800380648
Fuzzy control,HF severity change,2,6.675832861058931,0.8163133284357827,18.21644324075382,12.008654066361387
Fuzzy control,HF severity change,3,7.734959965162441,0.7085240704042567,18.471712508815127,12.672165036042937
Fuzzy control,HF severity change,4,7.2089304181244325,0.5967653499613538,15.88848818366057,10.850494678155714
Fuzzy control,HF severity change,5,7.443156127339469,0.7719924756760463,17.272418912908126,12.016347222683358
Fuzzy control,HF severity change,6,7.30750483484315,0.651155315841026,17.907092505798467,11.356014964061588
Fuzzy control,HF severity change,7,7.310715958257828,0.6933199514580533,12.482237675947774,9.11390864695613
Fuzzy control,HF severity change,8,8.818491040293367,0.7175133560867417,17.115917988140552,11.620016608838363
Fuzzy control,HF severity change,9,8.182880876287422,0.6325372581484064,14.97059854310254,10.783917849829844
Fuzzy control,HF severity change,10,7.405908935893928,0.6677119423477209,16.40902502604461,11.368683741915275
Fuzzy control,HF severity change,11,7.522836651097476,0.7008917394203318,11.62021833359887,10.585805251262746
Fuzzy control,HF severity change,12,7.447411297827928,0.7659916350037391,18.384705546574427,10.021311297366232
PI control,Rest to activity,1,8.439928036483774,0.5991064027218644,16.34443279456087,12.535162544007159
PI control,Rest to activity,2,7.897793004709194,0.6091245311520136,18.64635800802764,11.570716324612194
PI control,Rest to activity,3,8.797270681147758,0.8066104563969786,21.071034536739553,15.271117224816848
PI control,Rest to activity,4,7.5345459624235875,0.701906533787729,15.558598792997637,13.01041338560353
PI control,Rest to activity,5,5.067119643321534,0.5495396952458714,10.167037286427618,10.438201351525631
PI control,Rest to activity,6,7.941115155266017,0.6780844823297586,16.169353431815736,14.515493385261207
PI control,Rest to activity,7,7.978472291421825,0.613392976408045,14.388763154006888,9.964716656066189
PI control,Rest to activity,8,7.3074061825456305,0.6611193758055067,14.889698006675204,8.956641138929497
PI control,Rest to activity,9,6.805585110741473,0.6460589693172417,18.04417239708645,12.480768807767447
PI control,Rest to activity,10,7.158578553860927,0.6908918246513709,18.929692541446453,14.655432788708811
PI control,Rest to activity,11,7.084365651890908,0.48766701599990603,13.381940639974601,10.819336729010962
PI control,Rest to activity,12,6.955678901944982,0.753014331054557,15.700594671163977,12.739120816235708
PI control,Activity to rest,1,6.28564664082835,0.5379381085297785,17.978977091077077,10.108008844587463
PI control,Activity to rest,2,6.940796612975563,0.5727573390881604,15.101003961971381,9.857920530779392
PI control,Activity to rest,3,6.322479410946663,0.6540996888935741,15.335826231128427,10.368011702864992
PI control,Activity to rest,4,7.6089055090656545,0.7197620363863196,16.722591807180653,11.218468821662928
PI control,Activity to rest,5,5.288834926410269,0.6006404795541422,10.562587348678019,9.22418799972498
PI control,Activity to rest,6,6.557049618616658,0.7198535108925755,17.881726803479673,10.87812067550456
PI control,Activity to rest,7,6.357995121018687,0.8082326035765521,13.94106542855096,11.188238371507474
PI control,Activity to rest,8,6.668259141348974,0.581028719736652,14.981233877624119,11.058675898911343
PI control,Activity to rest,9,6.774024338279624,0.6539802655441719,14.40817815631351,11.312683588923603
PI control,Activity to rest,10,7.605419220541887,0.7359407216691595,19.519050490055626,12.521329202097792
PI control,Activity to rest,11,7.512511935660445,0.6528824893664184,15.677798767256107,10.996943874650617
PI control,Activity to rest,12,6.83768176069243,0.593605917076414,13.981748160047113,6.675270535057292
PI control,HF severity change,1,8.473629063676047,0.8753384800374172,18.82984350947351,14.201776828998856
PI control,HF severity change,2,8.347274845709023,0.8155467924571825,19.87026645981556,12.69854068507887
